gatunek;species_name;latin_name;english_name;BUL_SPECIES_NR;Grupa_gat;Nr_grupy_gat;grupa_wieku;code;col
FRA.EX.HP;jesion wyniosły;Fraxinus excel. Heteroph.Pend.;;479;DB;40;1;DB1;#D2D2D2
FRA.EX.HP;jesion wyniosły;Fraxinus excel. Heteroph.Pend.;;479;DB;40;2;DB2;#AFAFAF
FRA.EX.HP;jesion wyniosły;Fraxinus excel. Heteroph.Pend.;;479;DB;40;3;DB3;#8C8C8C
FRA.EX.HP;jesion wyniosły;Fraxinus excel. Heteroph.Pend.;;479;DB;40;4;DB4;#8C8C8C
FRA.EX.AU;jesion wyniosły;Fraxinus excelsior Aurea;;476;DB;40;1;DB1;#D2D2D2
FRA.EX.AU;jesion wyniosły;Fraxinus excelsior Aurea;;476;DB;40;2;DB2;#AFAFAF
FRA.EX.AU;jesion wyniosły;Fraxinus excelsior Aurea;;476;DB;40;3;DB3;#8C8C8C
FRA.EX.AU;jesion wyniosły;Fraxinus excelsior Aurea;;476;DB;40;4;DB4;#8C8C8C
FRA.EX.AP;jesion wyniosły;Fraxinus excelsior Aurea Pend.;;475;DB;40;1;DB1;#D2D2D2
FRA.EX.AP;jesion wyniosły;Fraxinus excelsior Aurea Pend.;;475;DB;40;2;DB2;#AFAFAF
FRA.EX.AP;jesion wyniosły;Fraxinus excelsior Aurea Pend.;;475;DB;40;3;DB3;#8C8C8C
FRA.EX.AP;jesion wyniosły;Fraxinus excelsior Aurea Pend.;;475;DB;40;4;DB4;#8C8C8C
FRA.EX.DI;jesion wyniosły;Fraxinus excelsior Diversifoli;;477;DB;40;1;DB1;#D2D2D2
FRA.EX.DI;jesion wyniosły;Fraxinus excelsior Diversifoli;;477;DB;40;2;DB2;#AFAFAF
FRA.EX.DI;jesion wyniosły;Fraxinus excelsior Diversifoli;;477;DB;40;3;DB3;#8C8C8C
FRA.EX.DI;jesion wyniosły;Fraxinus excelsior Diversifoli;;477;DB;40;4;DB4;#8C8C8C
FRA.EX.EL;jesion wyniosły;Fraxinus excelsior Elegantiss.;;478;DB;40;1;DB1;#D2D2D2
FRA.EX.EL;jesion wyniosły;Fraxinus excelsior Elegantiss.;;478;DB;40;2;DB2;#AFAFAF
FRA.EX.EL;jesion wyniosły;Fraxinus excelsior Elegantiss.;;478;DB;40;3;DB3;#8C8C8C
FRA.EX.EL;jesion wyniosły;Fraxinus excelsior Elegantiss.;;478;DB;40;4;DB4;#8C8C8C
FRA.EX.NA;jesion wyniosły;Fraxinus excelsior Nana;;480;DB;40;1;DB1;#D2D2D2
FRA.EX.NA;jesion wyniosły;Fraxinus excelsior Nana;;480;DB;40;2;DB2;#AFAFAF
FRA.EX.NA;jesion wyniosły;Fraxinus excelsior Nana;;480;DB;40;3;DB3;#8C8C8C
FRA.EX.NA;jesion wyniosły;Fraxinus excelsior Nana;;480;DB;40;4;DB4;#8C8C8C
FRA.EX.PE;jesion wyniosły;Fraxinus excelsior Pendula;;481;DB;40;1;DB1;#D2D2D2
FRA.EX.PE;jesion wyniosły;Fraxinus excelsior Pendula;;481;DB;40;2;DB2;#AFAFAF
FRA.EX.PE;jesion wyniosły;Fraxinus excelsior Pendula;;481;DB;40;3;DB3;#8C8C8C
FRA.EX.PE;jesion wyniosły;Fraxinus excelsior Pendula;;481;DB;40;4;DB4;#8C8C8C
JS.M;jesion mannowy;Fraxinus ornus;;618;DB;40;1;DB1;#D2D2D2
JS.M;jesion mannowy;Fraxinus ornus;;618;DB;40;2;DB2;#AFAFAF
JS.M;jesion mannowy;Fraxinus ornus;;618;DB;40;3;DB3;#8C8C8C
JS.M;jesion mannowy;Fraxinus ornus;;618;DB;40;4;DB4;#8C8C8C
FRA.PE.AU;jesion pensylwanski;Fraxinus pennsylva. Aucubae.;;482;DB;40;1;DB1;#D2D2D2
FRA.PE.AU;jesion pensylwanski;Fraxinus pennsylva. Aucubae.;;482;DB;40;2;DB2;#AFAFAF
FRA.PE.AU;jesion pensylwanski;Fraxinus pennsylva. Aucubae.;;482;DB;40;3;DB3;#8C8C8C
FRA.PE.AU;jesion pensylwanski;Fraxinus pennsylva. Aucubae.;;482;DB;40;4;DB4;#8C8C8C
JS.P;jesion pensylwanski;Fraxinus pennsylvanica;;619;DB;40;1;DB1;#D2D2D2
JS.P;jesion pensylwanski;Fraxinus pennsylvanica;;619;DB;40;2;DB2;#AFAFAF
JS.P;jesion pensylwanski;Fraxinus pennsylvanica;;619;DB;40;3;DB3;#8C8C8C
JS.P;jesion pensylwanski;Fraxinus pennsylvanica;;619;DB;40;4;DB4;#8C8C8C
FRA.PE.CR;jesion pensylwanski;Fraxinus pennsylvanica Crispa;;483;DB;40;1;DB1;#D2D2D2
FRA.PE.CR;jesion pensylwanski;Fraxinus pennsylvanica Crispa;;483;DB;40;2;DB2;#AFAFAF
FRA.PE.CR;jesion pensylwanski;Fraxinus pennsylvanica Crispa;;483;DB;40;3;DB3;#8C8C8C
FRA.PE.CR;jesion pensylwanski;Fraxinus pennsylvanica Crispa;;483;DB;40;4;DB4;#8C8C8C
FRA.PE.LA;jesion pensylwanski;Fraxinus pennsylvanica lanceo.;;484;DB;40;1;DB1;#D2D2D2
FRA.PE.LA;jesion pensylwanski;Fraxinus pennsylvanica lanceo.;;484;DB;40;2;DB2;#AFAFAF
FRA.PE.LA;jesion pensylwanski;Fraxinus pennsylvanica lanceo.;;484;DB;40;3;DB3;#8C8C8C
FRA.PE.LA;jesion pensylwanski;Fraxinus pennsylvanica lanceo.;;484;DB;40;4;DB4;#8C8C8C
PTU.MAŁ;przytulia krakowska;Galium cracoviense;;NA;NA;NA;NA;NA;NA
PTU.SUD;przytulia sudecka;Galium sudeticum;;NA;NA;NA;NA;NA;NA
PTU.STP;przytulia stepowa;Galium valdepilosum Heinr. Br.;;NA;NA;NA;NA;NA;NA
JAN.C;janowiec ciernisty;Genista germanica;;562;NA;NA;NA;NA;NA
JAN.W;janowiec włosisty;Genista pilosa;;563;NA;NA;NA;NA;NA
JAN.B;janowiec barwierski;Genista tinctoria;;561;NA;NA;NA;NA;NA
GOR.CZS;goryczuszka czeska;Gentianella bohemica Skalicky;;NA;NA;NA;NA;NA;NA
GOR.POL;goryczuszka polna;Gentianella campestris;;NA;NA;NA;NA;NA;NA
MIŁ.D;miłorząb dwuklapowy;Ginkgo biloba;;743;NA;NA;NA;NA;NA
MIŁ.D.F;miłorząb dwuklapowy;Ginkgo biloba;;744;NA;NA;NA;NA;NA
MIŁ.D.P;miłorząb dwuklapowy;Ginkgo biloba;;745;NA;NA;NA;NA;NA
MIE.BŁO;mieczyk błotny;Gladiolus paluster;;NA;NA;NA;NA;NA;NA
IGL.T;iglicznia trójcierniowa;Gleditsia triacanthos;;514;NA;NA;NA;NA;NA
GLE.TR.IN;iglicznia trójcierniowa;Gleditsia triacanthos Inermis;;494;NA;NA;NA;NA;NA
SZT.DRO;szarota drobna;Gnaphalium supinum;;NA;NA;NA;NA;NA;NA
KŁk.K;kłęk kanadyjski;Gymnocladus dioicus;;NA;NA;NA;NA;NA;NA
KŁK.K;kłęk kanadyjski;Gymnocladus dioicus;;649;NA;NA;NA;NA;NA
SŁN.S;słonisz srebrzysty;Halimodendron holodendron;;901;NA;NA;NA;NA;NA
OCZ.J;oczar japonski;Hamamelis japonica;;750;NA;NA;NA;NA;NA
HAM.JA.FP;oczar japonski;Hamamelis japonica flavo-purp.;;507;NA;NA;NA;NA;NA
OCZ.O;oczar omszony;Hamamelis mollis;;751;NA;NA;NA;NA;NA
OCZ.W;oczar wirginijski;Hamamelis virginiana;;752;NA;NA;NA;NA;NA
KET.S;ketmia syryjska;Hibiscus syriacus;;636;NA;NA;NA;NA;NA
ROK;rokitnik pospolity;Hippophae rhamnoides;;856;NA;NA;NA;NA;NA
HOR.K;hortensja krzewiasta;Hydrangea arborescens;;509;NA;NA;NA;NA;NA
HYD.AR.GR;hortensja krzewiasta;Hydrangea arborescens Grandif.;;512;NA;NA;NA;NA;NA
HOR.O;hortensja ogrodowa;Hydrangea macrophylla;;510;NA;NA;NA;NA;NA
HOR.B;hortensja bukietowa;Hydrangea paniculata;;508;NA;NA;NA;NA;NA
HYD.PA.GR;hortensja bukietowa;Hydrangea paniculata Grandifl.;;513;NA;NA;NA;NA;NA
