gatunek;species_name;latin_name;english_name;BUL_SPECIES_NR;Grupa_gat;Nr_grupy_gat;grupa_wieku;code;col
MD.Z;modrzew zwisły;Larix pendula;;737;SO;1;1;SO1;#DEB887
MD.Z;modrzew zwisły;Larix pendula;;737;SO;1;2;SO2;#DC9F63
MD.Z;modrzew zwisły;Larix pendula;;737;SO;1;3;SO3;#D68640
MD.Z;modrzew zwisły;Larix pendula;;737;SO;1;4;SO4;#D68640
LAR.PE.CO;modrzew zwisły;"Larix pendula ""Contorta""";;671;SO;1;1;SO1;#DEB887
LAR.PE.CO;modrzew zwisły;"Larix pendula ""Contorta""";;671;SO;1;2;SO2;#DC9F63
LAR.PE.CO;modrzew zwisły;"Larix pendula ""Contorta""";;671;SO;1;3;SO3;#D68640
LAR.PE.CO;modrzew zwisły;"Larix pendula ""Contorta""";;671;SO;1;4;SO4;#D68640
MD.C;modrzew chiński;Larix potaninii;;726;SO;1;1;SO1;#DEB887
MD.C;modrzew chiński;Larix potaninii;;726;SO;1;2;SO2;#DC9F63
MD.C;modrzew chiński;Larix potaninii;;726;SO;1;3;SO3;#D68640
MD.C;modrzew chiński;Larix potaninii;;726;SO;1;4;SO4;#D68640
MD.S;modrzew syberyjski;Larix sibirica;;736;SO;1;1;SO1;#DEB887
MD.S;modrzew syberyjski;Larix sibirica;;736;SO;1;2;SO2;#DC9F63
MD.S;modrzew syberyjski;Larix sibirica;;736;SO;1;3;SO3;#D68640
MD.S;modrzew syberyjski;Larix sibirica;;736;SO;1;4;SO4;#D68640
MD.NO;modrzew  nieokreślony;Larix species;;734;SO;1;1;SO1;#DEB887
MD.NO;modrzew  nieokreślony;Larix species;;734;SO;1;2;SO2;#DC9F63
MD.NO;modrzew  nieokreślony;Larix species;;734;SO;1;3;SO3;#D68640
MD.NO;modrzew  nieokreślony;Larix species;;734;SO;1;4;SO4;#D68640
OKR.JEL;okrzyn jeleni;Laserpitium archangelica Wolf.;;NA;NA;NA;NA;NA;NA
