X;GAT;SPECIES_NUM;GAT_NAZWA;LATIN_NAME;SHRUBTREE_FL;BOT_SPECIES;BOT_GENUS;FOMATREE_GRP;ACT_TREE_GRP;BOT_NAME;WOOD_KIND_FL;TAX_TREE_GRP;BUL_SPECIES_NR;GRP_H;GRP_V;WORTH_GRP;AVG_CUT_AGE;AGE1;AGE2;NR_CYKLU;GRP_P_BDL;GRP_TH;GRP_P;GRP_V_TAB
281;JAŁ.SA.T;61202;jałowiec sabiński  (sawina);Juniperus sabina;K;jałowiec;odm. Tamariscifolia;;;NA;I;NA;554;;;;NA;NA;NA;4;;;;
282;JAŁ.SK;61300;jałowiec skalny;Juniperus scopulorum;K;jałowiec;;;;NA;I;NA;555;;;;NA;NA;NA;4;;;;
283;JAŁ.TM;60103;jałowiec pospolity;Juniperus communis;K;jałowiec;odm. Tempelhof;;;NA;I;NA;556;;;;NA;NA;NA;4;;;;
284;JAŁ.W;61500;jałowiec wirginijski;Juniperus virginiana;K;jałowiec;;;;NA;I;NA;557;;;;NA;NA;NA;4;;;;
285;JAŁ.W.GO;61501;jałowiec wirginijski;Juniperus virginiana;K;jałowiec;odm. Grey Owl;;;NA;I;NA;558;;;;NA;NA;NA;4;;;;
286;JAŁ.W.S;61502;jałowiec wirginijski;Juniperus virginiana;K;jałowiec;odm. Skyrocket;;;NA;I;NA;559;;;;NA;NA;NA;4;;;;
287;JAŁ.Z;60700;jałowiec zachodni;Juniperus occidentalis;K;jałowiec;;;;NA;I;NA;560;;;;NA;NA;NA;4;;;;
288;JAN.B;970200;janowiec barwierski;Genista tinctoria;K;janowiec;;;;NA;L;NA;561;;;;NA;NA;NA;4;;;;
289;JAN.C;970100;janowiec ciernisty;Genista germanica;K;janowiec;;;;NA;L;NA;562;;;;NA;NA;NA;4;;;;
290;JAN.W;970300;janowiec włosisty;Genista pilosa;K;janowiec;;;;NA;L;NA;563;;;;NA;NA;NA;4;;;;
